,Habitantes,Máximo de publicadores en 2019,Un publicador por cada,Promedio de publicadores en 2019,% de aumento sobre 2018,Número de bautizados en 2019,Promedio de precursores,Número de congregaciones,Asistencia a la Conmemoración
Bonaire,20000.0,131.0,165.0,121.0,-3.0,0.0,17.0,2.0,370.0
Bosnia-Herzegovina,3301000.0,1065.0,3159.0,1045.0,-3.0,9.0,175.0,17.0,1794.0
Botsuana,2339000.0,2251.0,1052.0,2223.0,0.0,103.0,331.0,47.0,6707.0
Brasil,210396000.0,893784.0,240.0,875987.0,2.0,32943.0,116547.0,12408.0,1922286.0
Bulgaria,7000000.0,2556.0,2773.0,2524.0,1.0,77.0,677.0,52.0,5444.0
Burkina Faso,20321000.0,2042.0,11283.0,1801.0,2.0,100.0,268.0,48.0,4851.0
Burundi,11531000.0,15565.0,783.0,14734.0,6.0,927.0,2310.0,271.0,61157.0
Cabo Verde,550000.0,2327.0,241.0,2283.0,2.0,79.0,397.0,35.0,8377.0
Caimán (islas),65000.0,274.0,247.0,263.0,7.0,1.0,39.0,3.0,730.0
Camboya,16487000.0,1182.0,14188.0,1162.0,2.0,54.0,637.0,17.0,3033.0
Camerún,25876000.0,45092.0,616.0,41998.0,3.0,2071.0,5502.0,500.0,101818.0
Canadá,37411000.0,115634.0,326.0,114591.0,0.0,1935.0,13449.0,1326.0,186020.0
Centroafricana. Rep,4745000.0,2901.0,1727.0,2747.0,2.0,178.0,298.0,58.0,18890.0
Chad,15947000.0,887.0,18608.0,857.0,4.0,69.0,73.0,19.0,4765.0
Checa. Rep,10669000.0,15471.0,693.0,15396.0,0.0,254.0,1287.0,213.0,26748.0
Chile,18952000.0,82305.0,236.0,80475.0,3.0,2461.0,13689.0,955.0,184610.0
Chipre,1199000.0,2704.0,448.0,2675.0,2.0,32.0,451.0,43.0,4966.0
Chuuk,49000.0,48.0,1195.0,41.0,-7.0,2.0,13.0,2.0,207.0
Colombia,50339000.0,187229.0,274.0,183945.0,4.0,6754.0,27861.0,2248.0,567889.0
Congo. Rep del,5381000.0,8808.0,651.0,8260.0,10.0,732.0,970.0,98.0,34754.0
Congo. Rep Dem del,86791000.0,243146.0,386.0,225009.0,2.0,17800.0,21347.0,3880.0,1264290.0
Cook (islas),18000.0,206.0,96.0,188.0,2.0,8.0,30.0,3.0,549.0
Corea del Sur,51709000.0,102456.0,507.0,101970.0,1.0,1800.0,45242.0,1266.0,136891.0
Costa de Marfil,25717000.0,12194.0,2159.0,11913.0,4.0,531.0,1645.0,325.0,75755.0
Costa Rica,5048000.0,32125.0,159.0,31798.0,2.0,1181.0,3807.0,446.0,71472.0
Croacia,4130000.0,4965.0,850.0,4858.0,-2.0,64.0,434.0,58.0,7843.0
Cuba,11333000.0,94873.0,120.0,94628.0,0.0,2923.0,9532.0,1457.0,223403.0
Curazao,163000.0,2060.0,81.0,2024.0,0.0,75.0,226.0,26.0,5605.0
Dinamarca,5814000.0,14622.0,399.0,14555.0,0.0,247.0,1143.0,173.0,20756.0
Dominica,72000.0,442.0,175.0,411.0,4.0,11.0,57.0,10.0,1561.0
Dominicana. Rep,10739000.0,38754.0,283.0,37974.0,1.0,1402.0,7171.0,572.0,116498.0
Ecuador,17374000.0,100038.0,178.0,97454.0,3.0,4175.0,18462.0,1154.0,290701.0
El Salvador,6454000.0,40392.0,161.0,40017.0,-1.0,1053.0,4898.0,701.0,86133.0
Eslovaquia,5452000.0,11147.0,493.0,11054.0,-1.0,188.0,899.0,132.0,20910.0
Eslovenia,2084000.0,1825.0,1155.0,1804.0,-1.0,26.0,250.0,30.0,2857.0
España,46737000.0,116118.0,406.0,115099.0,2.0,2441.0,17464.0,1485.0,192303.0
Estados Unidos,329065000.0,1237054.0,273.0,1207438.0,0.0,28611.0,182882.0,12594.0,2416752.0
Estonia,1325000.0,4012.0,333.0,3979.0,0.0,63.0,522.0,57.0,6199.0
Esuatini,1148000.0,3354.0,352.0,3261.0,2.0,49.0,334.0,80.0,9248.0
Etiopía,112079000.0,10760.0,10652.0,10522.0,2.0,418.0,2336.0,219.0,25543.0
Feroe (islas),52000.0,131.0,409.0,127.0,9.0,1.0,31.0,4.0,235.0
Filipinas,108117000.0,222911.0,489.0,220996.0,3.0,10264.0,48212.0,3472.0,612911.0
Finlandia,5524000.0,18260.0,304.0,18178.0,0.0,281.0,2116.0,285.0,25064.0
Fiyi,890000.0,3151.0,289.0,3082.0,3.0,131.0,518.0,80.0,11186.0
Francia,65130000.0,131078.0,502.0,129820.0,1.0,3240.0,15615.0,1610.0,222855.0
Gabón,2173000.0,4869.0,493.0,4410.0,4.0,204.0,602.0,57.0,13288.0
Gambia,2348000.0,238.0,10344.0,227.0,5.0,10.0,36.0,5.0,637.0
Georgia,3724000.0,18021.0,208.0,17865.0,-1.0,489.0,3242.0,215.0,31451.0
Ghana,30418000.0,144570.0,218.0,139792.0,3.0,6257.0,15539.0,2167.0,381212.0
Gibraltar,34000.0,137.0,264.0,129.0,4.0,1.0,17.0,2.0,162.0
Gran Bretaña,64345000.0,137029.0,478.0,134718.0,0.0,2409.0,14706.0,1618.0,222033.0
Granada,112000.0,550.0,213.0,526.0,-4.0,7.0,69.0,10.0,1487.0
Grecia,10722000.0,28171.0,382.0,28089.0,0.0,717.0,4071.0,358.0,45637.0
Groenlandia,56000.0,153.0,389.0,144.0,-9.0,0.0,31.0,5.0,315.0
Guadalupe,400000.0,8376.0,49.0,8143.0,0.0,208.0,716.0,121.0,19385.0
Guam,167000.0,767.0,223.0,748.0,3.0,19.0,172.0,10.0,1900.0
Guatemala,17581000.0,40525.0,438.0,40154.0,0.0,1406.0,6603.0,873.0,98161.0
Guayana Francesa,291000.0,2842.0,106.0,2754.0,5.0,181.0,429.0,47.0,11318.0
Guinea,12771000.0,1031.0,12620.0,1012.0,8.0,69.0,125.0,23.0,4243.0
Guinea-Bissau,1921000.0,191.0,10440.0,184.0,11.0,15.0,51.0,3.0,699.0
Guinea Ecuatorial,1356000.0,2586.0,598.0,2267.0,11.0,205.0,311.0,25.0,8989.0
Guyana,783000.0,3293.0,248.0,3155.0,2.0,139.0,493.0,50.0,13942.0
Haití,11263000.0,20433.0,570.0,19768.0,1.0,981.0,2662.0,276.0,87267.0
Honduras,9746000.0,23016.0,428.0,22767.0,0.0,819.0,4091.0,439.0,63652.0
Hong Kong,7524000.0,5617.0,1348.0,5583.0,2.0,441.0,1180.0,64.0,9349.0
Hungría,9773000.0,21256.0,464.0,21060.0,-1.0,408.0,1832.0,293.0,37992.0
India,1366418000.0,49743.0,27752.0,49236.0,4.0,2512.0,7797.0,692.0,137439.0
Indonesia,270626000.0,29107.0,9605.0,28177.0,3.0,1046.0,4450.0,514.0,58878.0
Irlanda,6802000.0,7059.0,994.0,6845.0,2.0,134.0,1114.0,121.0,11818.0
Islandia,357000.0,390.0,957.0,373.0,0.0,2.0,56.0,7.0,741.0
Israel,9260000.0,1879.0,5044.0,1836.0,4.0,58.0,329.0,32.0,3166.0
Italia,60550000.0,251303.0,242.0,250538.0,0.0,4278.0,37512.0,2892.0,414595.0
Jamaica,2948000.0,11334.0,266.0,11090.0,-1.0,334.0,1408.0,174.0,34703.0
Japón,126860000.0,212651.0,597.0,212438.0,0.0,2118.0,66100.0,2991.0,291206.0
Kazajistán,18551000.0,17485.0,1072.0,17307.0,0.0,479.0,3959.0,262.0,30516.0
Kenia,52574000.0,29935.0,1833.0,28681.0,3.0,1445.0,3648.0,647.0,78322.0
Kirguistán,6390000.0,5300.0,1226.0,5214.0,1.0,192.0,1233.0,85.0,10489.0
Kiribati,118000.0,134.0,952.0,124.0,-7.0,2.0,32.0,3.0,438.0
Kosovo,1796000.0,267.0,6803.0,264.0,2.0,6.0,120.0,8.0,594.0
Kosrae,7000.0,20.0,412.0,17.0,6.0,0.0,5.0,1.0,96.0
Lesoto,2125000.0,4365.0,506.0,4202.0,3.0,257.0,545.0,93.0,12087.0
Letonia,1920000.0,2188.0,896.0,2142.0,-2.0,46.0,324.0,33.0,3367.0
Liberia,4937000.0,7851.0,715.0,6904.0,4.0,411.0,722.0,145.0,52616.0
Liechtenstein,38000.0,91.0,427.0,89.0,2.0,2.0,4.0,1.0,159.0
Lituania,2794000.0,2977.0,948.0,2948.0,-2.0,55.0,446.0,46.0,4682.0
Luxemburgo,616000.0,2156.0,290.0,2123.0,0.0,27.0,197.0,31.0,3802.0
Macao,672000.0,358.0,1948.0,345.0,8.0,4.0,102.0,4.0,810.0
Macedonia del Norte,2083000.0,1287.0,1640.0,1270.0,0.0,27.0,168.0,23.0,2752.0
Madagascar,26969000.0,37730.0,732.0,36847.0,7.0,3591.0,6385.0,832.0,146622.0
Madeira,254000.0,1157.0,221.0,1149.0,2.0,32.0,129.0,20.0,1868.0
Malasia,31950000.0,5521.0,5862.0,5450.0,5.0,204.0,1579.0,120.0,13492.0
Malaui,18629000.0,102773.0,196.0,95229.0,2.0,6103.0,7374.0,1636.0,342426.0
Mali,19658000.0,361.0,59570.0,330.0,7.0,26.0,58.0,7.0,1345.0
Malta,494000.0,769.0,660.0,748.0,-2.0,12.0,96.0,10.0,1344.0
Malvinas (islas),3000.0,15.0,214.0,14.0,8.0,0.0,1.0,1.0,31.0
Marshall (islas),59000.0,158.0,421.0,140.0,-11.0,3.0,24.0,4.0,771.0
Martinica,376000.0,4780.0,80.0,4688.0,-1.0,118.0,594.0,61.0,10317.0
Mauricio,1270000.0,1910.0,676.0,1879.0,1.0,68.0,208.0,27.0,4322.0
Mayotte,266000.0,188.0,1486.0,179.0,6.0,8.0,54.0,3.0,427.0
México,127576000.0,874491.0,148.0,862590.0,1.0,30403.0,138474.0,13074.0,2258524.0
Moldavia,3157000.0,18808.0,170.0,18584.0,-2.0,436.0,2199.0,208.0,32872.0
Mongolia,3225000.0,471.0,7026.0,459.0,4.0,13.0,217.0,9.0,1433.0
Montenegro,628000.0,279.0,2309.0,272.0,3.0,7.0,64.0,5.0,536.0
Montserrat,5000.0,39.0,147.0,34.0,10.0,0.0,19.0,1.0,216.0
Mozambique,30366000.0,67758.0,463.0,65593.0,9.0,7162.0,6114.0,1315.0,334110.0
Myanmar,54330000.0,4821.0,11564.0,4698.0,7.0,206.0,831.0,91.0,10437.0
Namibia,2495000.0,2647.0,1007.0,2477.0,3.0,133.0,296.0,46.0,8629.0
Nauru,11000.0,21.0,647.0,17.0,0.0,2.0,2.0,1.0,102.0
Nepal,28609000.0,2659.0,10890.0,2627.0,1.0,136.0,890.0,42.0,6995.0
Nicaragua,6546000.0,29567.0,227.0,28896.0,1.0,1598.0,4411.0,468.0,87706.0
Nieves,12000.0,74.0,176.0,68.0,10.0,0.0,3.0,1.0,223.0
Níger,23311000.0,322.0,76430.0,305.0,-1.0,3.0,42.0,9.0,924.0
Nigeria,200964000.0,402541.0,546.0,367876.0,2.0,14239.0,41038.0,6566.0,835850.0
Niue,2000.0,22.0,100.0,20.0,-5.0,0.0,2.0,1.0,53.0
Norfolk (isla),2000.0,7.0,333.0,6.0,-14.0,0.0,1.0,1.0,23.0
Noruega,5346000.0,11809.0,456.0,11727.0,1.0,204.0,1189.0,167.0,17536.0
Nueva Caledonia,283000.0,2536.0,115.0,2458.0,3.0,124.0,276.0,33.0,7050.0
Nueva Zelanda,4783000.0,14201.0,341.0,14027.0,1.0,294.0,1391.0,183.0,26856.0
Países Bajos,17097000.0,29525.0,583.0,29305.0,0.0,628.0,2116.0,352.0,49159.0
Pakistán,216565000.0,1122.0,210053.0,1031.0,1.0,50.0,82.0,20.0,4259.0
Palaos,18000.0,83.0,234.0,77.0,7.0,2.0,12.0,2.0,239.0
Palestinos. Territorios,4981000.0,63.0,83017.0,60.0,-3.0,0.0,9.0,2.0,130.0
Panamá,4246000.0,18068.0,240.0,17662.0,1.0,621.0,2988.0,323.0,54878.0
Papúa Nueva Guinea,8776000.0,5281.0,1829.0,4797.0,13.0,160.0,617.0,118.0,43275.0
Paraguay,7045000.0,10988.0,656.0,10738.0,2.0,439.0,1977.0,234.0,25805.0
Perú,32510000.0,132559.0,252.0,128834.0,2.0,4855.0,28724.0,1562.0,398335.0
Polonia,37973000.0,115229.0,332.0,114542.0,-1.0,1560.0,8435.0,1277.0,177379.0
Ponapé,36000.0,55.0,692.0,52.0,-9.0,0.0,15.0,1.0,170.0
Portugal,9780000.0,49692.0,198.0,49286.0,1.0,1117.0,4864.0,652.0,88099.0
Puerto Rico,2933000.0,23656.0,127.0,23147.0,1.0,477.0,3804.0,237.0,45314.0
Reunión,889000.0,3340.0,270.0,3296.0,1.0,146.0,453.0,41.0,6557.0
Rodríguez,38000.0,62.0,667.0,57.0,6.0,4.0,16.0,1.0,202.0
Rota,2500.0,9.0,313.0,8.0,-11.0,0.0,3.0,1.0,21.0
Ruanda,12374000.0,30723.0,423.0,29236.0,5.0,2046.0,5298.0,553.0,95239.0
Rumania,19365000.0,39389.0,493.0,39265.0,-1.0,775.0,4167.0,540.0,74476.0
Saba,2000.0,13.0,167.0,12.0,33.0,0.0,3.0,0.0,74.0
Saipán,48000.0,230.0,222.0,216.0,2.0,14.0,40.0,3.0,509.0
Salomón (islas),670000.0,2053.0,353.0,1896.0,-1.0,115.0,219.0,51.0,10203.0
Samoa,197000.0,557.0,373.0,528.0,1.0,26.0,109.0,12.0,2492.0
Samoa Norteamericana,55000.0,180.0,357.0,154.0,-8.0,4.0,29.0,3.0,595.0
San Bartolomé,10000.0,35.0,357.0,28.0,17.0,0.0,5.0,1.0,84.0
San Cristóbal,35000.0,222.0,164.0,214.0,4.0,5.0,30.0,3.0,695.0
San Eustaquio,3000.0,28.0,111.0,27.0,0.0,0.0,3.0,1.0,124.0
San Marino,34000.0,201.0,172.0,198.0,3.0,0.0,47.0,2.0,323.0
San Martín (terr francés),38000.0,299.0,147.0,259.0,-2.0,5.0,23.0,5.0,1072.0
San Martín (terr holandés),42000.0,333.0,131.0,321.0,-2.0,17.0,40.0,6.0,1158.0
San Pedro y Miquelón,6000.0,10.0,600.0,10.0,0.0,0.0,6.0,1.0,14.0
San Vicente y las Granadinas,111000.0,322.0,356.0,312.0,-3.0,4.0,41.0,8.0,1080.0
Santa Elena,4000.0,114.0,36.0,110.0,-3.0,2.0,0.0,3.0,253.0
Santa Lucía,183000.0,819.0,233.0,786.0,0.0,19.0,117.0,11.0,2091.0
Santo Tomé y Príncipe,215000.0,924.0,241.0,893.0,4.0,69.0,141.0,14.0,3631.0
Senegal,16296000.0,1376.0,12143.0,1342.0,2.0,48.0,180.0,29.0,2859.0
Serbia,6964000.0,3943.0,1811.0,3845.0,0.0,95.0,659.0,64.0,7750.0
Seychelles,98000.0,340.0,302.0,324.0,2.0,8.0,37.0,5.0,979.0
Sierra Leona,7813000.0,2465.0,3427.0,2280.0,2.0,123.0,316.0,41.0,9272.0
Sri Lanka,21324000.0,6669.0,3272.0,6518.0,3.0,150.0,813.0,116.0,15409.0
Sudáfrica,58780000.0,104451.0,568.0,103430.0,0.0,4473.0,13299.0,2056.0,281511.0
Sudán,42813000.0,662.0,67000.0,639.0,4.0,45.0,115.0,14.0,2297.0
Sudán del Sur,11062000.0,1595.0,8098.0,1366.0,10.0,128.0,192.0,32.0,7187.0
Suecia,10281000.0,22311.0,464.0,22166.0,0.0,295.0,2480.0,295.0,34897.0
Suiza,8591000.0,19281.0,451.0,19058.0,1.0,251.0,1421.0,270.0,31108.0
Surinam,581000.0,3149.0,187.0,3102.0,1.0,151.0,356.0,58.0,10980.0
Tahití,282000.0,3273.0,87.0,3243.0,1.0,124.0,496.0,46.0,9571.0
Tailandia,69626000.0,5392.0,13127.0,5304.0,6.0,270.0,2096.0,136.0,10700.0
Taiwán,23774000.0,11284.0,2137.0,11126.0,5.0,430.0,3862.0,188.0,20794.0
Tanzania,58005000.0,19459.0,3127.0,18547.0,4.0,1146.0,2075.0,446.0,62398.0
Timor Oriental,1293000.0,392.0,3466.0,373.0,8.0,45.0,91.0,5.0,981.0
Tinián,3100.0,13.0,258.0,12.0,-14.0,0.0,1.0,1.0,41.0
Togo,8082000.0,22691.0,374.0,21621.0,3.0,1470.0,2353.0,318.0,67573.0
Tonga,104000.0,211.0,584.0,178.0,-1.0,4.0,35.0,2.0,624.0
Trinidad y Tobago,1395000.0,10146.0,139.0,10037.0,1.0,346.0,1328.0,131.0,25478.0
Turcas y Caicos (islas),38000.0,346.0,114.0,333.0,2.0,10.0,48.0,6.0,1141.0
Turquía,83430000.0,4221.0,21213.0,3933.0,19.0,141.0,1205.0,52.0,7786.0
Tuvalu,12000.0,93.0,152.0,79.0,1.0,3.0,5.0,1.0,221.0
Ucrania,43994000.0,129310.0,344.0,128070.0,-2.0,2804.0,17777.0,1520.0,208844.0
Uganda,44270000.0,8652.0,5303.0,8348.0,6.0,603.0,1164.0,164.0,31284.0
Uruguay,3462000.0,12109.0,291.0,11887.0,1.0,367.0,1306.0,151.0,23581.0
Vanuatu,300000.0,788.0,431.0,696.0,1.0,42.0,97.0,17.0,3065.0
Venezuela,28516000.0,137052.0,209.0,136245.0,-4.0,7445.0,30110.0,1743.0,470857.0
Vírgenes Brit (islas),30000.0,241.0,132.0,228.0,-3.0,0.0,35.0,4.0,733.0
Vírgenes de EE UU (islas),105000.0,588.0,190.0,554.0,-2.0,13.0,114.0,9.0,2012.0
Wallis y Futuna (islas),11000.0,63.0,208.0,53.0,15.0,2.0,3.0,1.0,221.0
Yap,11000.0,54.0,324.0,34.0,31.0,4.0,10.0,1.0,142.0
Zambia,17861000.0,223720.0,87.0,206397.0,4.0,16167.0,17531.0,3402.0,979338.0
Zimbabue,14645000.0,50403.0,305.0,47980.0,3.0,3258.0,7341.0,1271.0,122790.0
33 países más,0.0,213205.0,0.0,210920.0,-2.1,4477.0,42896.0,3323.0,320885.0
Gran total (240 países y territorios),0.0,8683117.0,0.0,8471008.0,1.3,303866.0,1277738.0,119712.0,20919041.0
