,Habitantes,Máximo de publicadores en 2020,Un publicador por cada,Promedio de publicadores en 2020,% de aumento sobre 2019,Número de bautizados en 2020,Promedio de precursores,Número de congregaciones,Asistencia a la Conmemoración
Esuatini,1160000.0,3362.0,365.0,3180.0,-2.0,121.0,360.0,80.0,7398.0
Etiopía,114964000.0,10823.0,10848.0,10598.0,1.0,455.0,2378.0,215.0,20676.0
Feroe (islas),53000.0,129.0,421.0,126.0,-1.0,0.0,25.0,4.0,170.0
Filipinas,109581000.0,232587.0,486.0,225339.0,2.0,8268.0,49859.0,3529.0,562828.0
Finlandia,5532000.0,18190.0,307.0,18009.0,-1.0,182.0,2101.0,280.0,24160.0
Fiyi,896000.0,3169.0,300.0,2982.0,-3.0,135.0,529.0,82.0,9476.0
Francia,65313000.0,131754.0,498.0,131071.0,1.0,2624.0,16143.0,1568.0,226879.0
Gabón,2236384.0,4509.0,514.0,4351.0,-1.0,120.0,580.0,60.0,9311.0
Gambia,2417000.0,271.0,9553.0,253.0,11.0,9.0,37.0,5.0,577.0
Georgia,3717000.0,18104.0,208.0,17900.0,0.0,320.0,3243.0,214.0,33204.0
Ghana,31073000.0,147481.0,220.0,140996.0,1.0,6131.0,15721.0,2271.0,284637.0
Gibraltar,34000.0,147.0,262.0,130.0,1.0,0.0,16.0,2.0,171.0
Gran Bretaña,64919000.0,141412.0,496.0,130904.0,-3.0,1396.0,15180.0,1615.0,211199.0
Granada,113000.0,579.0,216.0,523.0,-1.0,13.0,76.0,10.0,1116.0
Grecia,10710000.0,28152.0,382.0,28005.0,0.0,569.0,4132.0,355.0,43748.0
Groenlandia,56000.0,144.0,418.0,134.0,-7.0,0.0,32.0,5.0,297.0
Guadalupe,400000.0,8290.0,50.0,8015.0,-2.0,168.0,734.0,120.0,16992.0
Guam,169000.0,770.0,224.0,754.0,1.0,26.0,177.0,9.0,1627.0
Guatemala,17916000.0,40334.0,450.0,39784.0,-1.0,1001.0,6537.0,869.0,95333.0
Guayana Francesa,299000.0,2960.0,105.0,2853.0,4.0,126.0,449.0,47.0,9636.0
Guinea,13133000.0,1078.0,12604.0,1042.0,3.0,107.0,138.0,27.0,2687.0
Guinea-Bisáu,1968000.0,211.0,9791.0,201.0,9.0,17.0,55.0,4.0,729.0
Guinea Ecuatorial,1412450.0,2415.0,608.0,2325.0,3.0,106.0,328.0,35.0,5785.0
Guyana,787000.0,3351.0,245.0,3211.0,2.0,126.0,500.0,51.0,9263.0
Haití,11403000.0,20254.0,591.0,19295.0,-2.0,833.0,2698.0,270.0,41559.0
Honduras,9905000.0,22891.0,436.0,22697.0,0.0,624.0,4069.0,437.0,61078.0
Hong Kong,7509000.0,5594.0,1350.0,5563.0,0.0,178.0,1233.0,66.0,9219.0
Hungría,9770000.0,21060.0,474.0,20626.0,-2.0,361.0,1836.0,291.0,36666.0
India,1380004000.0,53105.0,26805.0,51484.0,5.0,1567.0,7813.0,978.0,151288.0
Indonesia,273524000.0,29865.0,9462.0,28909.0,3.0,931.0,4719.0,524.0,50876.0
Irlanda,6860000.0,7104.0,996.0,6887.0,1.0,52.0,1189.0,120.0,11709.0
Islandia,367000.0,392.0,989.0,371.0,-1.0,6.0,55.0,7.0,658.0
Israel,9444000.0,1957.0,4919.0,1920.0,5.0,49.0,341.0,31.0,3653.0
Italia,60245000.0,250868.0,241.0,249821.0,0.0,3928.0,38630.0,2874.0,503363.0
Jamaica,2961000.0,11361.0,276.0,10712.0,-3.0,224.0,1368.0,151.0,23145.0
Japón,126476000.0,212683.0,598.0,211494.0,0.0,1910.0,66206.0,2964.0,273856.0
Kazajistán,18777000.0,17330.0,1092.0,17189.0,-1.0,207.0,4091.0,262.0,29324.0
Kenia,53771000.0,29545.0,1935.0,27785.0,-3.0,988.0,3587.0,651.0,62736.0
Kirguistán,6524000.0,5266.0,1259.0,5182.0,-1.0,105.0,1289.0,86.0,10161.0
Kiribati,119000.0,137.0,1017.0,117.0,-6.0,2.0,30.0,3.0,426.0
Kosovo,1810000.0,263.0,7098.0,255.0,-3.0,7.0,110.0,8.0,708.0
Kosrae,7000.0,14.0,583.0,12.0,-29.0,0.0,3.0,1.0,40.0
Lesoto,2142000.0,4312.0,572.0,3748.0,-11.0,197.0,539.0,94.0,8471.0
Letonia,1908000.0,2200.0,900.0,2120.0,-1.0,33.0,332.0,31.0,3227.0
Liberia,5058000.0,7272.0,749.0,6752.0,-2.0,479.0,737.0,150.0,19341.0
Liechtenstein,38000.0,92.0,432.0,88.0,-1.0,0.0,4.0,1.0,137.0
Lituania,2794000.0,2907.0,973.0,2871.0,-3.0,41.0,436.0,44.0,4340.0
Luxemburgo,626000.0,2153.0,295.0,2123.0,0.0,0.0,223.0,31.0,3853.0
Macao,685000.0,394.0,1793.0,382.0,11.0,9.0,123.0,5.0,845.0
Macedonia del Norte,2083000.0,1279.0,1665.0,1251.0,-1.0,15.0,175.0,24.0,3044.0
Madagascar,27691000.0,38430.0,802.0,34517.0,-6.0,1971.0,6720.0,871.0,104470.0
Madeira,254000.0,1167.0,220.0,1153.0,0.0,15.0,130.0,19.0,1868.0
Malasia,32657000.0,5637.0,5886.0,5548.0,2.0,179.0,1650.0,123.0,11611.0
Malaui,19130000.0,102060.0,208.0,92170.0,-3.0,6136.0,8485.0,1718.0,285054.0
Mali,20251000.0,362.0,60997.0,332.0,1.0,16.0,61.0,7.0,710.0
Malta,515000.0,783.0,678.0,760.0,2.0,13.0,106.0,10.0,1245.0
Malvinas (islas),3000.0,15.0,214.0,14.0,0.0,0.0,3.0,1.0,17.0
Marshall (islas),59000.0,134.0,527.0,112.0,-20.0,8.0,21.0,4.0,462.0
Martinica,375000.0,4793.0,79.0,4726.0,1.0,97.0,596.0,57.0,9903.0
Mauricio,1229000.0,1960.0,637.0,1929.0,3.0,55.0,228.0,27.0,4707.0
Mayotte,273000.0,198.0,1508.0,181.0,1.0,7.0,51.0,4.0,349.0
México,128933000.0,874144.0,149.0,863625.0,0.0,22627.0,137818.0,13032.0,1954849.0
Moldavia,3032000.0,18467.0,166.0,18270.0,-2.0,332.0,2168.0,203.0,33955.0
Mongolia,3278000.0,459.0,7383.0,444.0,-3.0,15.0,202.0,8.0,773.0
Montenegro,628000.0,319.0,2046.0,307.0,13.0,2.0,79.0,6.0,635.0
Montserrat,5000.0,40.0,139.0,36.0,6.0,0.0,16.0,1.0,76.0
Mozambique,30067000.0,68996.0,454.0,66171.0,1.0,2763.0,6688.0,1297.0,238288.0
Myanmar,54761000.0,4921.0,11303.0,4845.0,3.0,220.0,928.0,99.0,8240.0
Namibia,2541000.0,2663.0,1010.0,2515.0,2.0,165.0,316.0,47.0,6782.0
Nauru,11000.0,16.0,846.0,13.0,-24.0,0.0,2.0,1.0,76.0
Nepal,29137000.0,2699.0,10966.0,2657.0,1.0,221.0,838.0,43.0,6524.0
Nicaragua,6625000.0,29594.0,230.0,28859.0,0.0,1038.0,4604.0,470.0,70713.0
Nieves,13000.0,71.0,191.0,68.0,0.0,0.0,5.0,1.0,160.0
Níger,24207000.0,347.0,80690.0,300.0,-2.0,19.0,48.0,9.0,616.0
Nigeria,206140000.0,374228.0,603.0,341873.0,-7.0,12649.0,40654.0,6571.0,674754.0
Niue,2000.0,22.0,95.0,21.0,5.0,0.0,2.0,1.0,83.0
Norfolk (isla),2000.0,6.0,333.0,6.0,0.0,0.0,0.0,1.0,11.0
Noruega,5375000.0,11789.0,460.0,11684.0,0.0,157.0,1220.0,166.0,17471.0
Nueva Caledonia,285000.0,2634.0,113.0,2532.0,3.0,124.0,289.0,35.0,6459.0
Nueva Zelanda,4828000.0,14152.0,347.0,13902.0,-1.0,341.0,1410.0,171.0,23847.0
Países Bajos,17135000.0,29279.0,607.0,28234.0,-4.0,476.0,2182.0,351.0,41716.0
Pakistán,220892000.0,1033.0,221557.0,997.0,-3.0,21.0,63.0,16.0,3825.0
Palaos,18000.0,95.0,231.0,78.0,1.0,4.0,15.0,2.0,209.0
Palestinos. Territorios,5101000.0,60.0,89491.0,57.0,-5.0,0.0,7.0,2.0,173.0
Panamá,4315000.0,18413.0,241.0,17911.0,1.0,494.0,3091.0,326.0,48448.0
Papúa Nueva Guinea,8947000.0,5479.0,1751.0,5111.0,7.0,367.0,688.0,115.0,38787.0
Paraguay,7152703.0,11051.0,653.0,10958.0,2.0,348.0,2039.0,226.0,25792.0
Perú,32626000.0,133170.0,252.0,129692.0,1.0,3441.0,29041.0,1598.0,355914.0
Polonia,38383000.0,113980.0,345.0,111178.0,-3.0,999.0,8481.0,1274.0,170188.0
Ponapé,37000.0,60.0,673.0,55.0,6.0,2.0,19.0,1.0,120.0
Portugal,9799000.0,50022.0,198.0,49561.0,1.0,887.0,5073.0,653.0,81797.0
Puerto Rico,2861000.0,23605.0,125.0,22888.0,-1.0,454.0,3675.0,237.0,42544.0
Reunión,895000.0,3413.0,268.0,3338.0,1.0,84.0,475.0,42.0,6265.0
Rodríguez,43000.0,76.0,662.0,65.0,14.0,2.0,12.0,1.0,156.0
Rota,3000.0,6.0,600.0,5.0,-38.0,0.0,1.0,1.0,10.0
Ruanda,12663000.0,31397.0,425.0,29790.0,2.0,780.0,5367.0,570.0,69208.0
Rumania,19238000.0,39328.0,491.0,39174.0,0.0,568.0,4207.0,535.0,74363.0
Saba,2000.0,16.0,154.0,13.0,8.0,0.0,4.0,0.0,24.0
Saipán,48000.0,235.0,216.0,222.0,3.0,7.0,43.0,3.0,443.0
Salomón (islas),687000.0,2039.0,376.0,1825.0,-4.0,111.0,217.0,50.0,10704.0
Samoa,199000.0,542.0,413.0,482.0,-9.0,19.0,100.0,12.0,1975.0
Samoa Norteamericana,55000.0,150.0,420.0,131.0,-15.0,0.0,27.0,3.0,520.0
San Bartolomé,10000.0,38.0,294.0,34.0,21.0,0.0,6.0,1.0,72.0
San Cristóbal,36000.0,220.0,168.0,214.0,0.0,2.0,30.0,3.0,565.0
San Eustaquio,3000.0,27.0,115.0,26.0,-4.0,0.0,3.0,1.0,65.0
San Marino,34000.0,194.0,177.0,192.0,-3.0,0.0,47.0,2.0,483.0
San Martín (terr francés),39000.0,288.0,143.0,273.0,5.0,4.0,28.0,5.0,716.0
San Martín (terr holandés),43000.0,332.0,136.0,316.0,-2.0,12.0,39.0,4.0,860.0
San Pedro y Miquelón,6000.0,14.0,462.0,13.0,30.0,0.0,7.0,1.0,19.0
San Vicente y las Granadinas,111000.0,318.0,380.0,292.0,-6.0,8.0,42.0,8.0,665.0
Santa Elena,5000.0,113.0,48.0,104.0,-5.0,2.0,0.0,3.0,178.0
Santa Lucía,184000.0,811.0,237.0,776.0,-1.0,11.0,113.0,11.0,1709.0
Santo Tomé y Príncipe,210000.0,929.0,236.0,888.0,-1.0,55.0,141.0,14.0,2255.0
Senegal,16744000.0,1400.0,12412.0,1349.0,1.0,35.0,184.0,33.0,2489.0
Serbia,6964000.0,3837.0,1849.0,3766.0,-2.0,79.0,650.0,63.0,7288.0
Seychelles,98000.0,363.0,287.0,341.0,5.0,10.0,37.0,5.0,976.0
Sierra Leona,7977000.0,2520.0,3464.0,2303.0,1.0,182.0,325.0,43.0,5379.0
Sri Lanka,21413000.0,6781.0,3210.0,6670.0,2.0,260.0,828.0,112.0,16122.0
Sudáfrica,59620000.0,105133.0,609.0,97892.0,-5.0,3441.0,13093.0,2070.0,215285.0
Sudán,43849000.0,672.0,71766.0,611.0,-4.0,50.0,131.0,14.0,1602.0
Sudán del Sur,11213000.0,1515.0,7975.0,1406.0,3.0,87.0,202.0,33.0,4112.0
Suecia,10352000.0,22333.0,467.0,22146.0,0.0,301.0,2510.0,285.0,32068.0
Suiza,8665000.0,19082.0,459.0,18888.0,-1.0,301.0,1488.0,268.0,30068.0
Surinam,587914.0,3144.0,193.0,3043.0,-2.0,127.0,346.0,57.0,8124.0
Tahití,282000.0,3255.0,89.0,3186.0,-2.0,87.0,476.0,46.0,8917.0
Tailandia,69800000.0,5538.0,12921.0,5402.0,2.0,176.0,2106.0,142.0,8322.0
Taiwán,23579000.0,11379.0,2084.0,11314.0,2.0,384.0,3984.0,190.0,16678.0
Tanzania,59734000.0,19029.0,3326.0,17961.0,-3.0,797.0,2159.0,444.0,51771.0
Timor Oriental,1318000.0,399.0,3487.0,378.0,1.0,41.0,107.0,5.0,995.0
Tinián,3000.0,12.0,273.0,11.0,-8.0,0.0,1.0,1.0,38.0
Togo,8279000.0,22120.0,396.0,20888.0,-3.0,741.0,2489.0,327.0,44358.0
Tonga,106000.0,265.0,573.0,185.0,4.0,14.0,41.0,2.0,474.0
Trinidad y Tobago,1399000.0,10221.0,138.0,10112.0,1.0,291.0,1318.0,132.0,23364.0
Turcas y Caicos (islas),39000.0,345.0,115.0,338.0,2.0,10.0,49.0,6.0,782.0
Turquía,84339000.0,4875.0,18071.0,4667.0,19.0,149.0,1633.0,63.0,8658.0
Tuvalu,12000.0,89.0,174.0,69.0,-13.0,3.0,3.0,3.0,194.0
Ucrania,40498000.0,128614.0,317.0,127598.0,0.0,2344.0,17561.0,1502.0,230656.0
Uganda,41892000.0,9011.0,4826.0,8681.0,4.0,504.0,1183.0,163.0,21525.0
Uruguay,3474000.0,12081.0,291.0,11929.0,0.0,211.0,1408.0,150.0,24153.0
Vanuatu,307000.0,1001.0,432.0,710.0,2.0,26.0,116.0,17.0,2234.0
Venezuela,28436000.0,136542.0,214.0,132812.0,-3.0,6489.0,30340.0,1734.0,319962.0
Vírgenes Brit (islas),30000.0,225.0,142.0,212.0,-7.0,0.0,31.0,4.0,589.0
Vírgenes de EE UU (islas),104000.0,561.0,197.0,527.0,-5.0,5.0,108.0,8.0,1034.0
Wallis y Futuna (islas),11000.0,67.0,186.0,59.0,11.0,0.0,3.0,1.0,231.0
Yap,12000.0,33.0,400.0,30.0,-12.0,2.0,10.0,1.0,93.0
Zambia,17861000.0,225139.0,89.0,200287.0,-3.0,13539.0,18396.0,3528.0,711397.0
Zimbabue,14911000.0,49648.0,332.0,44854.0,-7.0,1840.0,7452.0,1395.0,118029.0
33 países más,0.0,212924.0,0.0,207891.0,-1.4,5732.0,42137.0,2967.0,306281.0
Gran total (240 países y territorios),0.0,8695808.0,0.0,8424185.0,-0.6,241994.0,1299619.0,120387.0,17844773.0
